SMILES,LogD
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,2.853395672
COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@H]4[C@@H](C2)N(C)CC[C@]314,2.74296261
CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,4.521479173
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0.769594885
CCOC(=O)c1ccc(N)cc1,1.410916747
O=C(O)c1ccccc1,-0.23716582
O=C(c1ccccc1)C(O)c1ccccc1,2.005950457
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,1.804319102
O=C(OOC(=O)c1ccccc1)c1ccccc1,3.069623302
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,2.677799311
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,1.233629969
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,1.894463513
OCc1ccccc1,1.419431459
O=C(OCc1ccccc1)c1ccccc1,3.522242147
O=C(OCc1ccccc1)c1ccc(O)cc1,3.388618073
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-1.288068701
O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1,0.785847461
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,3.202051326
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,3.230053546
