SMILES,HLM
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,16.26357392
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,15.39709981
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,59.83490538
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,37.50625648
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,5.548983365
O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,21.14042024
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,-38.18083809
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,-0.500416912
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,80.83962966
COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@H]4[C@@H](C2)N(C)CC[C@]314,56.28533708
CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,54.10585189
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,33.3754695
CCOC(=O)c1ccc(N)cc1,62.67077842
O=C(O)c1ccccc1,24.40833817
O=C(c1ccccc1)C(O)c1ccccc1,18.39849725
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,90.74547479
O=C(OOC(=O)c1ccccc1)c1ccccc1,64.91819887
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,10.64188991
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,-6.601102116
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,36.25578726
OCc1ccccc1,16.50931797
O=C(OCc1ccccc1)c1ccccc1,115.8031901
O=C(OCc1ccccc1)c1ccc(O)cc1,104.8614407
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,23.34697388
O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1,-12.35272889
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,53.4369004
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,61.55221308
